page 17	影劇自由總會祝國慶餐券開始在會所預售預料參加者眾請提早購票
page 17	佛教真言宗居士林葉文意大會堂講經
page 17	朱敬文留美基金十月五日即截止
page 17	華僑日報救童助學善長仁翁請解善囊
page 17	名聲樂家張汝鈞對教學的興趣比演出還大在主辦學生音樂會時見到眾多的新舊學生他會感動得掉下淚來因為這就是他廿多年來積聚的財富
page 18	林俊賢因曾經滄海自言不敢妄再用情
page 18	為代替馬拉松籌款成龍昨參加百萬行
page 18	要看了血玫瑰上映藍乃才始放心飛印
page 18	黎筱娉昨在招待會稱影協正有三項任務準備辦港金像展
page 18	徐小明怕減肥折福這一陣重了三十磅
page 18	已在美國註冊結婚林姍姍與李啟淦將在港補行婚禮
page 18	王小鳳再不火爆深呼吸抑制脾氣
page 18	今夜星光燦爛義映許鞍華認是得意作
page 18	因要往大馬拍戲李香琴損失甚多
page 18	九月是受奧運影響對電影未來市道陳榮美極具信心
page 18	參加奧運單車選手橋本聖子招待會中直認暗戀近藤真彥
page 18	張菲復出舉棋未定劉松仁硬撼何家勁
page 18	呂少玲為應付演動作片經常在　弗身手
page 18	張艾嘉要僕僕台港周潤發想話劇加場
page 18	從幾部出色文藝片看各國導演較高低
page 18	被輪姦又打被撻王小鳳事過尚驚心
page 19	惠安染整公司董事長麥鏡棠分析稱針織布業明年將會復甦美加市場發展潛力雄偉該公司在博羅圓州鎮投資四千八百萬元開辦博羅縣惠圓染織廠惠門生產各類織染針織布系列年產量達二千至二千五百噸
page 23	友誼頌飄揚天際漢城奧運圓滿結束煙花歌舞惜別健兒四年後在巴塞隆拿再見
page 23	房子汽車榮譽巨額獎金商業氣息侵入奧運獲得金牌一生無憂
page 23	主辦國家名利雙收
page 23	有學生投擲汽油彈
page 23	柔道賽首重體能歐洲選手絕大優勢李根勇戰手肘碎骨五選手保持進步迎接亞運
page 23	長跑皇后出師未捷
page 23	頭部受傷奮戰獲勝盧根尼斯獲精神獎年已廿八將轉行演戲
page 23	運動員服藥成風氣美蘇行將聯播遏止計劃訓練期間抽查檢驗
page 23	曲終人未散晚會好聯歡歐選手發難逢人推落水
page 23	排隊輪贈品香港不執輸中國成績差領隊面黑黑
page 23	只顧針對中國南韓女單失算
page 23	奪得二金二銀一銅中國乒隊成績輝煌回國後將全面整頓加強訓練世界乒壇男子實力愈加拉近
page 23	奧運最後一枚金牌意選手馬拉松稱雄美國男排力壓蘇聯奪金牌
page 24	最後一日又有醜聞拳證受賄影響戰果會長指出判決不公國際裁判聲言丟臉
page 24	南韓異軍突起日本每況愈下亞洲體育三強實力分析中國仍在摸索之中
page 24	下屆奧運精彩節目淩晨舉行
page 24	姬菲芙會從影
page 24	馬拉松爆大冷意大利選手均速奪金牌
page 24	令人不解的金牌慘遭苦打仍得冠軍形勢夠強卻被判輸
page 24	巴市市長開始計劃
page 24	男排美國稱霸蘇聯輸得心服阿根廷克巴西得銅牌
page 24	電話金牌美將奪得侮辱姑娘當心挨揍主席開玩笑竟將秋空當禮物
page 25	當前投資置業理宜中線為佳住宅舖位價企工業樓料微跌
page 25	多倫多地價已見頂
page 25	價非廉宜仍不貴山明水秀可樓樨
page 25	加國地產成搶手貨港台日客競相落行滿地可地價平租金輕是移民理想處女地
page 25	滿地可市樓價仍低
page 25	魁北克具歐洲風情
page 25	置業豈容輕忽安居繫於心細
page 25	二手樓大小由人選購之時要醒神假盤虛價隨時有慎防俾人搵老襯
page 27	動作靈巧題材多樣化美國著名現代舞團週五起在港演三場
page 27	荃灣澳門戲劇交流合辦荃澳戲劇晚會星期日荃灣大會堂舉行
page 27	中國歷代才女小傳
page 27	藝術節協會委任兩經理
page 27	二胡原作欣賞沙田月中舉行
page 27	書卷氣馳名粉氣兼有之京劇名家俞振飛週三暢談文學戲劇關係
page 28	保良局昨日賣旗籌款逾二百萬元
page 28	黃大仙各界慶祝國慶陳平促市民互讓互諒
page 28	精英廣告再報捷奪得五名新客戶
page 28	商界鉅子歐林夫人謝賀勤舉殯榮哀
page 28	屈臣氏提供新款相架買大送細買禮物有時相當費
