page 11	圖　三院庚午年主席李振强　右　將印信移交予辛未年主席徐展堂
page 11	新加坡客機被騎劫星突擊隊發神威擊斃四名劫機者過程僅八分鐘全部乘客機員無恙
page 11	紳寶汽車展沙田明擧行
page 11	前巴總理指責政府歪心硬砌星洲劫機罪行圖打擊人民黨聲譽
page 11	宋雙促海部協助實現柬和平方案
page 11	週二南韓官員正在點算該國三十年來首次地方議會選擧的選票　然而　由於政府涉及貪汚醜聞　選民對這次投票反應冷淡
page 11	黎報章稱人質在復活節釋放
page 11	新加坡航空公司空中巴士SQ一一七號週二晚遭騎劫　新加坡警方突擊隊週三晨突擊救出一百一十八名乘客及十一名機員
page 11	南韓大選點票結果執政民主自由黨取得壟斷性優勢
page 11	南非鎗手掃射參加喪禮人羣釀成十五死十八傷
page 11	軍事政變的馬里
page 11	郝柏村向立法委員會報告下年度施政重點
page 11	磋商保警扣查神態胸有成竹
page 11	圖　岑永生會長授旗訪問耶加達團友合照
page 12	電訊集團千人被炒勞資談判破裂員工採取連串抗議行動政府表示關注裁員事件
page 12	突宣布大幅裁員不滿職業無保障
page 12	昨晚集會通過建議今午罷工五分鐘要求資方今日再作談判不排除採取進一步行動
page 12	電訊集團證實共解僱千一人補償金額高於勞工法例標準此擧經審慎研究無談判餘地
page 12	九七迫近大公司紛業務重組預期未來更多大型勞資衝突反映本港潛在危機工人缺乏保障
page 12	勞工處甚表關注協助尋找新工作
page 12	圖　香港大東電報局職員會昨到立法局向議員遞交意見書　尋求協助
page 12	李鵬飛稱削減開支有利市民譚耀宗望通過商討妥善解决
page 12	遭解僱員工感受各不同部份當是提早退休有人感到前路茫茫
page 13	姜文拒與劉曉慶合照短期內返回中國大陸不願談及感情事巴黎情調對其無重大影響
page 13	與徐少强有纏綿戲但却認為小兒科若拍藝術三級電影吳家麗會答應考慮
page 13	吳家麗拍接吻鏡種類多
page 13	大太監李蓮英柏林影展獲最佳推荐特別獎田壯壯不感覺失望稱中國電影競爭大導演開戲更困難
page 13	梁韻蕊讚男友英俊明年一月拉埋天窗
page 13	田壯壯與劉曉慶携手合作
page 13	胡楓談教子心得娶得賢妻感欣慰
page 13	自法來港出席香港國際電影節開幕禮劉曉慶姜文有默契影片在法反應熱烈
page 13	論戚美珍不洗澡享受坐月樂趣
page 13	上海滬劇來港大會堂亮相茅善玉曾獲梅花獎演出傳統名劇及精彩折子戲
page 13	借上海市政廠拍攝豪華婚禮場面李麗珍尊龍初携手望能打入國際市場
page 13	李麗珍與尊龍初次携手飾演父女
page 13	葉童關心跛豪反應稱是最喜之片
page 13	滬劇名旦　梅花獎　得主茅善玉
page 13	區丁平拍戲力求眞實醫生指導梅艷芳產子覺劉嘉玲有潛質有機會問鼎金像影后寶座
page 13	區丁平表示劉嘉玲有機會獲獎
page 13	李嘉欣善用時間學唱歌運動喼弗
page 13	朱劍丹加盟彩龍鳳初次領班演神功戲
page 13	姜文與劉曉慶是一對好拍檔
page 14	今年二月本地產品出口總值達一百四十三億元增幅為百分七點八首兩月港產出口增值百分十一點九同期內進口貨逾一千零五十六億元錄得十六億六千五百萬逆差各貿易總體增長率仍然較强
page 14	美元回落馬克尤甚港匯指數挫三小點美元近期升勢過速與央行干預有壓力估計未來數日美元繼續盤整
page 14	市况甚淡　波幅狹窄港金再跌八元本地倫敦金降至三五七水平
page 14	歐洲金融早市美元報跌黃金仍軟節前獲利回吐白銀價仍感疲弱
page 14	香港金融業總會宣佈五月一日實施新合約
